t_us,x_gal,y_gal,z_gal
472973058,-6.26057,-17.73827,983.05782
472983058,-6.48416,-18.33451,982.90876
472993058,-6.18603,-18.18545,983.20688
473003058,-6.26057,-18.11092,983.20688
473013058,-5.96244,-17.88733,982.46158
473023058,-6.48416,-17.88733,983.13235
473033058,-6.63322,-17.88733,982.90876
473043058,-6.63322,-17.96186,983.57954
473053058,-6.55869,-17.96186,982.68517
473063058,-6.48416,-17.96186,983.20688
473073058,-6.55869,-17.96186,983.50501
473083058,-6.40963,-18.18545,983.13235
473093058,-6.40963,-18.03639,982.90876
473103058,-6.55869,-18.33451,983.13235
473113058,-6.26057,-18.18545,983.20688
473123058,-6.63322,-18.03639,983.20688
473133058,-6.48416,-18.11092,983.05782
473143058,-6.40963,-17.51468,983.35594
473153058,-6.18603,-18.25998,982.83423
473163058,-6.48416,-18.03639,982.98329
473173058,-6.55869,-17.96186,983.05782
473183058,-6.48416,-18.18545,983.05782
473193058,-6.63322,-17.96186,982.75970
473203058,-6.70775,-17.73827,983.13235
473213058,-6.70775,-18.11092,983.05782
473223058,-6.70775,-17.96186,983.13235
473233058,-6.78228,-18.03639,982.98329
473243058,-6.40963,-17.96186,983.05782
473253058,-6.55869,-18.25998,983.35594
473263058,-6.33510,-17.73827,983.13235
473273058,-6.48416,-18.18545,983.20688
473283058,-6.18603,-17.96186,983.35594
473293058,-6.48416,-18.11092,983.13235
473303058,-6.48416,-17.81280,982.90876
473313058,-6.78228,-18.25998,983.28141
473323058,-6.40963,-18.11092,982.83423
473333058,-6.63322,-17.96186,983.13235
473343058,-6.55869,-18.03639,982.83423
473353058,-6.63322,-18.18545,983.05782
473363058,-6.40963,-18.18545,983.65407
473373058,-6.55869,-17.81280,983.13235
473383058,-6.33510,-17.88733,982.75970
473393058,-6.40963,-18.03639,983.13235
473403058,-6.55869,-17.66374,983.13235
473413058,-6.33510,-17.88733,983.05782
473423058,-6.26057,-17.88733,982.68517
473433058,-6.40963,-17.73827,983.05782
473443058,-6.55869,-18.25998,982.98329
473453058,-6.18603,-18.03639,982.68517
473463058,-6.63322,-17.81280,982.83423
473473058,-6.40963,-18.18545,983.35594
473483058,-6.26057,-18.03639,982.75970
473493058,-6.33510,-17.88733,982.83423
473503058,-6.18603,-18.63264,982.98329
473513058,-6.18603,-18.18545,983.50501
473523058,-6.40963,-17.96186,982.53611
473533058,-6.55869,-17.73827,982.83423
473543058,-6.33510,-18.03639,983.20688
473553058,-6.70775,-18.11092,983.13235
473563058,-6.48416,-18.03639,982.98329
473573058,-6.33510,-18.03639,983.05782
473583058,-6.26057,-18.33451,982.90876
473593058,-6.33510,-17.96186,982.98329
473603058,-6.48416,-17.88733,982.83423
473613058,-6.40963,-18.18545,983.05782
473623058,-6.40963,-18.18545,983.13235
473633058,-6.18603,-18.03639,982.61064
473643058,-6.33510,-17.81280,982.98329
473653058,-6.48416,-18.11092,983.35594
473663058,-6.33510,-17.81280,982.98329
473673058,-6.40963,-18.18545,982.98329
473683058,-6.40963,-18.18545,983.05782
473693058,-6.26057,-17.81280,983.28141
473703058,-6.33510,-18.25998,983.13235
473713058,-6.70775,-18.03639,983.13235
473723058,-6.40963,-18.25998,983.05782
473733058,-6.55869,-18.03639,983.28141
473743058,-6.40963,-17.96186,983.20688
473753058,-6.55869,-18.03639,983.05782
473763058,-6.40963,-18.11092,983.35594
473773058,-6.40963,-18.40904,983.05782
473783058,-6.40963,-17.96186,982.75970
473793058,-6.18603,-18.25998,983.50501
473803058,-6.48416,-17.96186,983.28141
473813058,-6.48416,-17.88733,983.35594
473823058,-6.26057,-18.18545,982.98329
473833058,-6.55869,-18.03639,982.90876
